title,author,series,publisher,year_published,genre,votes,awards,average_rating,rating_count,review_count,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
Persepolis: The Story of a Childhood,"['Marjane Satrapi', ' Mattias Ripa']",(Persepolis #1-2),Pantheon,2000,"['Sequential Art-Graphic Novels', 'Nonfiction', 'Sequential Art-Comics', 'Autobiography-Memoir', 'Biography', 'History', 'Cultural-Iran', 'Graphic Novels Comics', 'Biography-Autobiography', 'Academic-School']","[4726, 1979, 1615, 1598, 722, 627, 397, 331, 289, 272]","['Harvey Awards for Best US Edition of Foreign Material (2004)', ' ALA Alex Award (2004)', "" Prix du Festival d'Angoulême for Alph-art du coup de coeur (2001)""]",4.25,152750,8803,70512,57054,20027,3756,1401
Dhalgren,"['Samuel R. Delany', ' William Gibson']",Standalone,Open Road Media Sci-Fi & Fantasy,1975,"['Science Fiction', 'Fiction', 'Fantasy']","[723, 433, 111]","['Nebula Award Nominee for Novel (1975)', ' Locus Award Nominee for Best Novel (1976)']",3.77,8457,973,3036,2425,1624,788,584
Det tomma hemmet,"['Lydia Chukovskaya', ' Lidia Tjukovskaja', ' Johan Munck', ' Nils Håkansson', ' Amanda Lövqvist']",Standalone,Ruin,1965,"['Fiction', 'Cultural-Russia', 'Classics', 'Historical-Historical Fiction', 'Literature-Russian Literature']","[74, 69, 33, 31, 31]",['National Book Award Finalist for Translation (1968)'],3.95,1560,142,438,691,360,64,7
The First Day on the Somme,['Martin Middlebrook'],Standalone,Penguin,1971,"['History', 'War-World War I', 'Nonfiction', 'Military-Military History', 'War']","[96, 38, 31, 21, 19]",['No awards'],4.27,973,55,475,332,134,20,12
Shalador's Lady,['Anne Bishop'],(The Black Jewels #8),Roc,2010,"['Fantasy', 'Romance', 'Fiction', 'Fantasy-Magic', 'Fantasy-Dark Fantasy']","[865, 116, 74, 60, 56]",['Goodreads Choice Award Nominee for Fantasy (2010)'],4.35,10557,301,5640,3323,1309,237,48
Apocalypse Culture,['Adam Parfrey'],Standalone,Feral House,1987,"['Nonfiction', 'History', 'Cultural', 'Culture-Society', 'Sociology']","[28, 13, 11, 10, 9]",['No awards'],3.98,1311,75,485,458,257,83,28
Life on the Refrigerator Door,['Alice Kuipers'],Standalone,Harper,2007,"['Fiction', 'Young Adult', 'Contemporary', 'Womens Fiction-Chick Lit', 'Family']","[151, 147, 81, 37, 30]",['Carnegie Medal Nominee (2008)'],3.66,8977,1725,2209,2868,2785,890,225
Captain,['Sam Angus'],Standalone,Macmillan,2014,"['Historical-Historical Fiction', 'Animals', 'War', 'War-World War I', 'Fiction', 'Childrens']","[6, 5, 3, 2, 2, 2]",['No awards'],3.73,64,12,19,22,13,7,3
The Hollow Man,['Paul  Hollis'],(The Hollow Man #1),self,2013,"['Fiction', 'The United States Of America']","[2, 1]",['No awards'],4.51,55,36,33,19,2,0,1
Harbor,"['John Ajvide Lindqvist', ' Marlaine Delargy']",Standalone,Thomas Dunne Books,2008,"['Horror', 'Fiction', 'Mystery', 'Thriller', 'European Literature-Swedish Literature']","[492, 122, 85, 67, 48]",['No awards'],3.65,6391,694,1299,2484,1832,633,143
The General Danced at Dawn,['George MacDonald Fraser'],(McAuslan),HarperCollins,1970,"['Fiction', 'Humor', 'Historical-Historical Fiction']","[11, 8, 7]",['No awards'],4.22,373,30,175,119,67,10,2
Der Kuss Meiner Schwester,['Jana Frey'],Standalone,Loewe,1997,"['Young Adult', 'Romance', 'European Literature-German Literature', 'Fiction']","[11, 3, 3, 2]",['No awards'],3.7,230,6,60,81,57,25,7
The Tea House on Mulberry Street,['Sharon Owens'],Standalone,Jove,2003,"['Fiction', 'Womens Fiction-Chick Lit', 'Cultural-Ireland', 'Romance', 'European Literature-Irish Literature', 'Audiobook', 'Adult Fiction', 'Contemporary', 'Relationships', 'Adult']","[77, 46, 23, 17, 11, 9, 8, 7, 6, 5]",['No awards'],3.66,3590,390,743,1268,1240,277,62
Knights of the Black and White,['Jack Whyte'],(Templar Trilogy #1),Putnam Adult,2006,"['Historical-Historical Fiction', 'Fiction', 'Historical', 'Fantasy']","[207, 69, 26, 26]",['No awards'],3.78,4288,238,1264,1433,1100,354,137
The Narrow Road to the Deep North and Other Travel Sketches (Yuasa),"['Matsuo Bashō', ' Nobuyuki Yuasa']",Standalone,Penguin Classics,1702,"['Poetry', 'Cultural-Japan', 'Travel', 'Classics', 'Nonfiction', 'Asian Literature-Japanese Literature']","[481, 161, 95, 85, 68, 65]",['No awards'],4.14,3287,330,1395,1132,606,125,29
مجموعه اشعار حمید مصدق,['حمید مصدق'],Standalone,موسسه‌ی انتشارات نگاه,2006,['Poetry'],[16],['No awards'],4.04,392,24,144,145,80,19,4
Сердце Пармы,['Алексей Иванов'],Standalone,Азбука-классика,2003,"['Cultural-Russia', 'Fiction', 'Historical-Historical Fiction', 'Fantasy']","[16, 11, 11, 3]",['No awards'],4.42,425,22,253,117,38,13,4
Angelique,"['Anne Golon', ' Serge Golon']",(Angélique - Version Originale #1),Chivers Press,1980,"['Historical-Historical Fiction', 'Romance', 'Historical', 'Fiction', 'Romance-Historical Romance', 'Cultural-France', 'Adventure']","[91, 85, 53, 38, 24, 21, 13]",['No awards'],4.19,2515,153,1187,775,421,97,35
Báseň o hašiši,['Charles Baudelaire'],Standalone,Volvox Globator,1851,['Poetry'],[3],['No awards'],3.41,93,7,18,28,26,16,5
Libertad Bajo Palabra (1935-1957),['Octavio Paz'],Standalone,Ediciones Catedra S.A.,1966,"['Poetry', 'Literature-Latin American Literature']","[13, 3]",['No awards'],4.17,322,16,151,101,49,16,5
Interview with a Porn Star,['Jason Luke'],Standalone,Unknown,2014,"['Adult Fiction-Erotica', 'Romance-Erotic Romance', 'Romance', 'Romance-Contemporary Romance']","[17, 6, 6, 5]",['No awards'],3.79,720,117,226,221,191,58,24
Rosto Inacabado (Pequenos segredos alquímicos) (PT) (2013),['Lucio Agustine Rosenkreutz Crăciunescu'],Standalone,© U.Porto Edições,2012,['No genre'],[0],['No awards'],5.0,8,0,8,0,0,0,0
Firewalker,['Josephine Angelini'],(Worldwalker #2),Feiwel & Friends,2015,"['Fantasy', 'Young Adult', 'Paranormal-Witches', 'Fantasy-Magic', 'Fantasy-Paranormal']","[323, 179, 89, 84, 75]",['No awards'],4.06,6681,768,2442,2622,1243,296,78
Touch of Frost,['Jennifer Estep'],(Mythos Academy #1),Kensington -Teen,2011,"['Young Adult', 'Fantasy', 'Fantasy-Mythology', 'Fantasy-Paranormal', 'Fantasy-Urban Fantasy', 'Fantasy-Magic']","[833, 784, 615, 451, 318, 257]",['RITA Award by Romance Writers of America Nominee for Young Adult Romance (2012)'],3.95,29263,2078,10063,10612,6266,1672,650
Step into Magic,['Day Leitao'],(Portals to Whyland #1),Day Leitao,2018,"['Fantasy', 'Young Adult']","[6, 1]",['No awards'],4.09,65,28,31,16,13,3,2
Moominland Midwinter,"['Tove Jansson', ' Thomas Warburton']",(Mumintrollen #6),A & C Black,1957,"['Fantasy', 'Childrens', 'Fiction', 'Classics', 'European Literature-Finnish Literature']","[180, 164, 137, 84, 67]","['Elsa Beskow-plaketten (1958)', ' Rudolf Koivu -palkinto (1958)']",4.4,9028,496,4914,3021,925,127,41
恋だの愛だの 1 [Koi Dano Ai Dano 1],"['Ririko Tsujita', ' 辻田りり子']",(恋だの愛だの / Koi Dano Ai Dano #1),Hakusensha,2010,"['Sequential Art-Manga', 'Romance', 'Sequential Art-Comics', 'Comics Manga', 'Manga-Manga Romance']","[104, 6, 4, 3, 3]",['No awards'],4.15,433,11,207,127,68,20,11
Stone,['Joe Donnelly'],Standalone,Arrow Books,1990,['Horror'],[7],['No awards'],4.04,54,2,20,20,12,0,2
The Milk of Birds,['Sylvia Whitman'],Standalone,Atheneum Books for Young Readers,2013,"['Young Adult', 'Fiction', 'Cultural-Africa', 'Contemporary', 'War', 'Realistic Fiction', 'Cultural']","[48, 18, 17, 13, 9, 9, 7]",['Amelia Elizabeth Walden Award Nominee (2014)'],4.07,513,120,185,203,107,12,6
Forever a Hustler's Wife,['Nikki Turner'],(A Hustler's Wife #2),One World/Ballantine,2007,"['Cultural-African American', 'Urban', 'Fiction']","[6, 5, 4]",['No awards'],4.46,2936,56,1884,640,320,67,25
Suttree,['Cormac McCarthy'],Standalone,Vintage International,1979,"['Fiction', 'Literature', 'Gothic-Southern Gothic', 'Novels', 'Classics']","[630, 88, 82, 66, 52]",['Lillian Smith Book Award (1980)'],4.18,17327,1389,7993,5691,2683,689,271
"More Jesus, Less Religion: Moving from Rules to Relationship","['Stephen Arterburn', ' Jack Felton']",Standalone,WaterBrook,2000,"['Christian', 'Religion', 'Christian-Christian Living', 'Nonfiction', 'Religion-Christianity']","[10, 7, 6, 4, 3]",['No awards'],4.18,148,18,66,53,21,6,2
Set Me Free,['Eva Gray'],(Tomorrow Girls #4),Scholastic Paperbacks,2011,"['Young Adult', 'Science Fiction-Dystopia', 'Science Fiction', 'Childrens-Middle Grade', 'Fiction', 'Adventure', 'Childrens', 'Childrens-Juvenile', 'Mystery', 'Fantasy']","[18, 15, 9, 6, 4, 4, 3, 2, 2, 2]",['No awards'],4.28,1216,61,623,364,182,37,10
Finders Keepers,['Fern Michaels'],Standalone,Zebra,1998,"['Romance', 'Fiction', 'Adult']","[23, 7, 4]",['No awards'],4.03,1216,65,489,381,267,51,28
Dreamwalker,['Allyson James'],(Stormwalker #5),JA / AG Publishing,2016,"['Fantasy-Urban Fantasy', 'Fantasy', 'Fantasy-Dragons', 'Fantasy-Paranormal', 'Romance', 'Romance-Paranormal Romance', 'Fantasy-Magic']","[53, 20, 20, 19, 19, 19, 13]",['No awards'],4.14,801,68,302,333,146,17,3
Outrageous Fortune,['Patricia Wentworth'],Standalone,Grand Central Publishing,1933,"['Mystery', 'Mystery-Golden Age Mystery', 'Fiction']","[23, 3, 2]",['No awards'],3.74,225,18,55,77,74,18,1
The No. 1 Ladies' Detective Agency,['Alexander McCall Smith'],(No. 1 Ladies' Detective Agency #1),Anchor Books,1998,"['Mystery', 'Fiction', 'Cultural-Africa', 'Mystery-Crime']","[3716, 2657, 983, 388]",['Martin Beck Award (2004)'],3.79,226685,11138,64599,80186,57797,16814,7289
Callasandra: Fractured,['Stephanie Douglas'],Standalone,Unknown,2018,['No genre'],[0],['No awards'],4.75,8,3,7,0,1,0,0
Evernight,['Claudia Gray'],(Evernight #1),HarperTeen,2008,"['Young Adult', 'Paranormal-Vampires', 'Fantasy', 'Fantasy-Paranormal', 'Romance', 'Romance-Paranormal Romance', 'Fantasy-Supernatural', 'Fiction', 'Fantasy-Urban Fantasy', 'Young Adult-Teen']","[1371, 1221, 803, 754, 581, 214, 200, 163, 161, 93]",['No awards'],3.64,72817,3263,20732,20676,19784,7960,3665
The Fantastic Flying Books of Mr. Morris Lessmore,"['William Joyce', ' Joe Bluhm']",Standalone,Atheneum Books for Young Readers,2011,"['Childrens-Picture Books', 'Fantasy', 'Childrens', 'Writing-Books About Books']","[873, 247, 240, 130]","[""Pennsylvania Young Readers' Choice Award Nominee for Grades K-3 (2014)"", ' Comstock Read Aloud Book Award (2013)', ' Goodreads Choice Award Nominee for Picture Books (2012)', "" One Book One San Diego for Children's Companion Title (2015)""]",4.52,11141,1755,7433,2517,858,216,117
Never Cry Werewolf,['L.A. Banks'],(Crimson Moon #5),St. Martin's Paperbacks,2010,"['Fantasy-Paranormal', 'Fantasy-Urban Fantasy', 'Romance-Paranormal Romance', 'Fantasy', 'Romance']","[22, 20, 16, 16, 9]",['No awards'],4.21,818,30,372,284,135,16,11
The Dogs of Balboa,['Rose Christo'],Standalone,Unknown,2014,"['Young Adult', 'Romance-M M Romance', 'Contemporary', 'LGBT']","[14, 9, 4, 3]",['No awards'],4.15,190,22,89,54,36,8,3
The Affirmation,['Christopher Priest'],Standalone,Touchstone / Simon & Schuster UK,1981,"['Science Fiction', 'Fiction', 'Fantasy']","[111, 56, 50]",['No awards'],3.91,1674,183,499,692,349,96,38
Os Pescadores,"['Raul Brandão', ' Isabel Pascoal']",Standalone,Verbo,1923,"['European Literature-Portuguese Literature', 'Cultural-Portugal']","[4, 3]",['No awards'],3.93,163,19,50,62,44,4,3
The Catcher in the Rye and Philosophy,"['Keith Dromm', ' Heather Salter']",(Popular Culture and Philosophy #71),Open Court,2012,"['Philosophy', 'Nonfiction']","[10, 4]",['No awards'],3.6,35,5,8,13,7,6,1
The Boy Who Saw True: The Time-Honoured Classic of the Paranormal,"['Cyril Scott', ' Anonymous']",Standalone,Rider,1953,"['Nonfiction', 'Fantasy-Paranormal', 'Spirituality', 'Paranormal-Esp', 'Philosophy-Metaphysics']","[6, 5, 2, 2, 2]",['No awards'],4.34,296,43,164,88,32,5,7
O Palácio dos Prazeres Celestiais,"['Adam Williams', ' Catarina Lima']",Standalone,DIFEL,2003,"['Historical-Historical Fiction', 'Cultural-China', 'Historical', 'Fiction', 'Romance']","[23, 11, 10, 8, 6]",['No awards'],3.83,346,32,106,118,90,21,11
Warrior Wolf: They Walk Among Us,['D.J. Livingston'],Standalone,DJ Livingston,2014,['No genre'],[0],['No awards'],4.81,16,3,14,1,1,0,0
True Devotion to Mary,['Louis de Montfort'],Standalone,Tan Books,1712,"['Christianity-Catholic', 'Religion', 'Spirituality', 'Nonfiction']","[103, 46, 33, 24]",['No awards'],4.51,3489,129,2382,686,300,67,54
Blue Mars,['Kim Stanley Robinson'],(Mars Trilogy #3),Bantam Doubleday Dell Publishing Group Ltd.,1996,"['Science Fiction', 'Fiction']","[1161, 415]","['Hugo Award for Best Novel (1997)', ' Locus Award for Best Science Fiction Novel (1997)', ' Arthur C. Clarke Award Nominee (1997)', ' John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1997)', ' James Tiptree Jr. Award Nominee for Longlist (1996) Seiun Award 星雲賞 Nominee for Best Translated Novel (2018)']",3.93,25558,821,8574,9162,5835,1558,429
"Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety",['Eric Schlosser'],Standalone,Penguin Books,2009,"['History', 'Nonfiction', 'Politics', 'Science', 'War-Military Fiction', 'War']","[602, 460, 133, 117, 99, 87]","['Pulitzer Prize Nominee for History (2014)', ' California Book Award for Nonfiction (Gold) (2013)', ' Lionel Gelber Prize Nominee (2014)', ' Duke of Westminster Medal for Military Literature Nominee (2014)', ' Andrew Carnegie Medal Nominee for Nonfiction (2014)']",4.26,10022,1268,4537,3945,1222,224,94
The Wind Boy,"['Ethel Cook Eliot', ' Shanon Hanse']",Standalone,Raven Rocks Press,1923,"['Fantasy', 'Childrens', 'Fiction', 'Young Adult']","[16, 6, 5, 3]",['No awards'],4.18,327,34,153,100,58,13,3
Dangerous Tides,['Christine Feehan'],(Drake Sisters #4),Berkley Books,2006,"['Romance', 'Fantasy-Paranormal', 'Romance-Paranormal Romance', 'Fantasy']","[265, 257, 250, 68]",['No awards'],4.3,11316,270,5744,3592,1650,271,59
The Back Road,['Rachel Abbott'],(DCI Tom Douglas #2),Black Dot Publishing Limited,2013,"['Mystery', 'Mystery-Crime', 'Thriller', 'Fiction']","[61, 43, 41, 26]",['No awards'],4.03,14437,675,5357,5357,2738,708,277
The Sword of Honour Trilogy,"['Evelyn Waugh', ' Frank Kermode']",(Sword of Honour #1-3),Everyman's Library,1965,"['Fiction', 'Historical-Historical Fiction', 'Classics', 'War', 'War-World War II', 'Literature']","[91, 47, 31, 24, 17, 16]",['No awards'],4.24,1574,127,726,576,214,44,14
When Did You See Her Last?,['Lemony Snicket'],(All the Wrong Questions #2),Little Brown,2013,"['Mystery', 'Fiction', 'Childrens-Middle Grade', 'Childrens', 'Young Adult']","[326, 134, 133, 107, 101]",['No awards'],4.08,8648,851,2877,3824,1737,189,21
Too Many Ghosts,['Paul Gallico'],Standalone,International Polygonics,1959,"['Fiction', 'Mystery', 'Horror']","[10, 8, 5]",['No awards'],3.74,187,26,45,66,62,11,3
"Green Smoothie Cleanse: 100% Natural Way To Burn 10 Pounds In Two Weeks, Easy Deliciouse Weight Loss Book",['Violet Karma'],Standalone,Unknown,2014,['No genre'],[0],['No awards'],5.0,2,0,2,0,0,0,0
Hill Country Man,['Loralee Lillibridge'],Standalone,"Tell-Tale Publishing Group, LLC",2012,"['Fiction', 'Romance']","[1, 1]",['No awards'],4.5,16,10,10,5,0,1,0
A Bride Goes West,"['Nannie T. Alderson', ' Helena Huntington Smith', "" J. O'H. Cosgrave II""]",Standalone,Bison Books,1942,"['History', 'Nonfiction', 'Biography', 'Biography Memoir', 'Autobiography-Memoir']","[15, 11, 10, 5, 4]",['No awards'],4.01,240,47,72,110,47,10,1
Az,['Hakan Günday'],Standalone,Unknown,2011,"['Asian Literature-Turkish Literature', 'Cultural-Turkish', 'Fiction']","[33, 17, 11]",['No awards'],4.01,4302,230,1651,1503,808,237,103
Miss Peregrine's Journal for Peculiar Children,"['Ransom Riggs', ' NOT A BOOK']",(Miss Peregrine's Peculiar Children),Quirk Books,2016,"['Fantasy', 'Young Adult', 'Fantasy-Paranormal']","[11, 5, 4]",['No awards'],4.41,157,4,106,27,14,3,7
Damned,"['Nancy Holder', ' Debbie Viguié']",(Crusade #2),Simon & Schuster Children's Publishing,2011,"['Paranormal-Vampires', 'Young Adult', 'Fantasy', 'Fantasy-Paranormal']","[52, 47, 21, 18]",['No awards'],4.03,1177,123,438,428,238,52,21
It's Kind of a Funny Story,['Ned Vizzini'],Standalone,Disney-Hyperion,2006,"['Young Adult', 'Fiction', 'Contemporary', 'Health-Mental Health']","[2837, 1269, 1228, 907]","['Lincoln Award Nominee (2009)', ' Goldener Lufti (2008)']",4.13,204595,10417,85514,72621,35823,8023,2614
The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem,['Muriel Spark'],Standalone,Random House,1999,"['Fiction', 'Classics', 'Literature', 'Novels', 'European Literature-British Literature', 'Literature-20th Century', 'Short Stories', 'Cultural-Scotland', 'Literary Fiction', 'Womens']","[65, 39, 7, 7, 7, 6, 6, 5, 4, 4]",['No awards'],3.79,1584,106,406,603,438,108,29
Un corazón bajo un sotana,"['Arthur Rimbaud', ' Mauro Armiño']",Standalone,Fórcola Ediciones,1924,['No genre'],[0],['No awards'],4.0,26,4,12,6,4,4,0
The Journey,['Kathryn Lasky'],(Guardians of Ga'Hoole #2),"Scholastic, Inc.",2003,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens']","[218, 102, 80, 77]",['No awards'],4.0,12370,478,4531,4214,2898,605,122
"O Livro dos Dias, um diário das Cruzadas",['Stephen J. Rivele'],Standalone,Lyon Edições,1996,"['Fiction', 'Historical-Historical Fiction', 'Historical-Medieval', 'Historical']","[11, 4, 4, 3]",['No awards'],4.11,361,33,136,152,55,14,4
Kingsblood Royal,['Sinclair Lewis'],Standalone,Random House Inc (T),1947,"['Fiction', 'Classics', 'Literature-American', 'Literature', 'Race']","[35, 22, 7, 7, 6]",['No awards'],3.99,658,91,216,264,137,35,6
Omega,['Jasinda Wilder'],(Alpha #3),Jasinda Wilder,2015,"['Romance', 'Adult Fiction-Erotica', 'Contemporary', 'Adult']","[50, 41, 19, 14]",['No awards'],4.15,3623,294,1609,1206,608,143,57
Breaking the Mirror,"['Nilah E. Rose', ' AMV']",Standalone,Fiction Press,2007,"['Romance-M M Romance', 'Sociology-Abuse', 'Dark', 'Romance', 'Contemporary']","[25, 10, 7, 7, 7]",['No awards'],3.64,243,22,62,85,58,23,15
World Tales,['Idries Shah'],Standalone,"Octagon Press, Limited",1979,"['Folk Tales', 'Fantasy-Mythology', 'Fantasy-Fairy Tales', 'Spirituality', 'Classics']","[3, 3, 2, 2, 2]",['No awards'],4.48,139,23,92,32,9,2,4
