title,author,series,publisher,year_published,genre,votes,awards,average_rating,rating_count,review_count,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
"Fullmetal Alchemist (3-in-1 Edition), Vol. 1","['Hiromu Arakawa', ' Akira Watanabe']",(Fullmetal Alchemist: Omnibus #1),VIZ Media LLC,2002,"['Sequential Art-Manga', 'Fantasy', 'Sequential Art-Graphic Novels', 'Sequential Art-Comics']","[501, 105, 69, 43]",['No awards'],4.6,6033,292,4229,1330,361,62,51
Οι έμποροι των εθνών,"['Alexandros Papadiamantis', ' Αλέξανδρος Παπαδιαμάντης']",Standalone,Βιβλιοπωλείον της Εστίας,1882,['Historical-Historical Fiction'],[3],['No awards'],4.09,224,10,81,93,42,5,3
The Return of The Soldier,"['Rebecca West', ' Sadie Jones']",Standalone,Virago,1918,"['Classics', 'Fiction', 'Historical-Historical Fiction', 'War', 'War-World War I']","[245, 234, 108, 94, 69]",['No awards'],3.7,5274,613,1121,2053,1583,435,82
The Black Unicorn: Poems,['Audre Lorde'],Standalone,W. W. Norton  Company,1978,"['Poetry', 'Feminism', 'LGBT', 'Race', 'GLBT-Queer', 'Cultural-African American']","[605, 60, 33, 17, 17, 15]",['No awards'],4.34,1594,122,845,515,179,43,12
The Innocents Abroad,"['Mark Twain', ' Grover Gardner']",Standalone,Modern Library,1869,"['Travel', 'Classics', 'Nonfiction', 'Humor']","[448, 437, 253, 161]",['No awards'],3.86,11056,941,3191,4256,2714,675,220
Wastelands: Stories of the Apocalypse (Wastelands #1),"['John Joseph Adams', ' Cory Doctorow', ' George R.R. Martin', ' Carol Emshwiller', ' Jonathan Lethem', ' Octavia E. Butler', ' Stephen King', ' Gene Wolfe', ' Orson Scott Card', ' Paolo Bacigalupi', ' M. Rickert']",Standalone,Night Shade,2007,"['Short Stories', 'Science Fiction', 'Apocalyptic-Post Apocalyptic', 'Fiction', 'Horror', 'Anthologies']","[325, 305, 252, 231, 187, 144]",['Locus Award Nominee for Best Anthology (2009)'],3.77,9064,777,2126,3577,2663,560,138
The Realms of the Gods,['Tamora Pierce'],(The Immortals #4),Simon Pulse,1996,"['Fantasy', 'Young Adult', 'Science Fiction Fantasy', 'Fiction', 'Childrens']","[766, 277, 106, 91, 85]",['No awards'],4.32,51677,940,27207,15527,7336,1282,325
Mary Stewart's Merlin Trilogy,['Mary  Stewart'],(Arthurian Saga #1-3),Harper Voyager,1978,"['Fantasy', 'Fiction', 'Historical-Historical Fiction', 'Mythology-Arthurian', 'Science Fiction Fantasy', 'Fantasy-Mythology', 'Historical', 'Classics', 'Adventure', 'Fantasy-Magic']","[280, 62, 55, 55, 15, 14, 12, 11, 7, 7]",['No awards'],4.39,4472,201,2426,1478,470,74,24
Midnight Thief,['Livia Blackburne'],(Midnight Thief #1),Disney-Hyperion,2014,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy-High Fantasy']","[808, 396, 133, 88]",['Missouri Truman Readers Award Nominee (2017)'],3.73,9398,957,2374,3323,2689,767,245
Shadowheart,['Tad Williams'],(Shadowmarch #4),DAW Hardcover,2010,"['Fantasy', 'Fiction', 'Fantasy-Epic Fantasy']","[552, 47, 34]",['No awards'],4.01,5251,239,1670,2232,1099,215,35
Deadly Forecast,['Victoria Laurie'],(Psychic Eye Mystery #11),NAL,2013,"['Mystery', 'Mystery-Cozy Mystery', 'Fantasy-Paranormal', 'Romance', 'Mystery-Paranormal Mystery']","[72, 41, 36, 21, 20]",['No awards'],4.22,2922,238,1281,1094,474,56,17
The Rebels,['John Jakes'],(Kent Family Chronicles #2),Berkley Books,1975,"['Historical-Historical Fiction', 'Fiction', 'Historical']","[313, 121, 47]",['No awards'],4.08,6388,166,2230,2663,1300,170,25
unChristian: What a New Generation Really Thinks about Christianity... and Why It Matters,"['David Kinnaman', ' Gabe Lyons']",Standalone,Baker Books,2007,"['Christian', 'Nonfiction', 'Religion', 'Religion-Christianity', 'Religion-Theology', 'Religion-Faith', 'Christian-Christian Living']","[127, 71, 70, 61, 41, 39, 38]",['No awards'],3.89,8250,508,2715,2839,1945,541,210
EarthDance: Living Systems in Evolution,"['James E. Lovelock', ' Elisabet Sahtouris']",Standalone,iUniverse,1996,"['Science', 'Biology-Ecology', 'Nonfiction']","[5, 2, 2]",['No awards'],4.33,48,8,28,13,3,3,1
Quiet Girl in a Noisy World: An Introvert's Story,['Debbie Tung'],Standalone,Andrews McMeel Publishing,2017,"['Sequential Art-Graphic Novels', 'Nonfiction', 'Sequential Art-Comics', 'Autobiography-Memoir', 'Graphic Novels Comics']","[569, 226, 209, 116, 66]",['No awards'],4.33,7726,1671,4018,2555,897,183,73
Cemetery Dance,"['Douglas Preston', ' Lincoln Child']",(Pendergast #9),Grand Central Publishing,2009,"['Mystery', 'Thriller', 'Fiction', 'Horror']","[376, 361, 287, 123]",['No awards'],3.99,23284,1249,7337,9842,4982,862,261
"The Bedwetter: Stories of Courage, Redemption, and Pee",['Sarah Silverman'],Standalone,Harper Collins,2010,"['Humor', 'Nonfiction', 'Autobiography-Memoir', 'Biography', 'Humor-Comedy']","[520, 480, 370, 282, 205]",['Grammy Award Nominee for Best Spoken Word Album (2011)'],3.53,34428,2168,6684,11213,11509,3666,1356
Madness: A Bipolar Life,['Marya Hornbacher'],Standalone,Houghton Mifflin Harcourt,2008,"['Autobiography-Memoir', 'Nonfiction', 'Psychology', 'Health-Mental Health', 'Mental Health-Mental Illness']","[291, 264, 191, 178, 156]",['No awards'],4.03,11727,753,4585,3999,2306,609,228
On the Use and Abuse of History for Life,['Friedrich Nietzsche'],Standalone,Oak Grove,1874,"['Philosophy', 'Nonfiction', 'History', 'European Literature-German Literature', 'Classics']","[217, 42, 42, 14, 14]",['No awards'],3.96,1715,87,593,623,378,81,40
India Dark,['Kirsty Murray'],Standalone,Allen  Unwin,2010,"['Historical-Historical Fiction', 'Young Adult', 'Historical', 'Cultural-Australia', 'Cultural-India']","[18, 9, 8, 4, 3]",['No awards'],3.61,215,33,43,84,59,20,9
Random Acts,['Taylor Smith'],Standalone,MIRA,1998,"['Mystery', 'Fiction', 'Mystery-Crime']","[7, 4, 2]",['No awards'],3.47,160,15,25,52,61,17,5
The Black Tulip,"['Alexandre Dumas', ' Robin Buss']",Standalone,Penguin Classics,1850,"['Classics', 'Fiction', 'Historical-Historical Fiction', 'Cultural-France', 'European Literature-French Literature']","[745, 258, 248, 110, 86]",['No awards'],3.81,14830,988,3975,5467,4221,963,204
The Martian Chronicles,['Ray Bradbury'],Standalone,Bantam/Spectra,1949,"['Science Fiction', 'Fiction', 'Classics', 'Short Stories']","[5240, 2348, 1854, 1362]",['Analog Award Nominee for All-Time Best Book (1952)'],4.14,203400,7517,85478,72953,35508,7311,2150
Adventures of a Psychic: The Fascinating and Inspiring True-Life Story of One of America's Most Successful Clairvoyants,"['Sylvia Browne', ' Antoinette May']",Standalone,Hay House,1990,"['Nonfiction', 'Spirituality', 'Spirituality-New Age', 'Autobiography-Memoir', 'Biography', 'Biography-Autobiography', 'Fantasy-Paranormal', 'Philosophy-Metaphysics', 'Inspirational', 'Self Help']","[22, 17, 10, 9, 9, 7, 6, 5, 2, 2]",['No awards'],3.95,1540,67,581,452,380,97,30
Doctor Who: Strange England,['Simon Messingham'],(Virgin New Adventures #29),Virgin Publishing,1994,"['Media Tie In-Doctor Who', 'Science Fiction', 'Fiction']","[55, 15, 5]",['No awards'],3.18,149,15,25,26,58,31,9
Suitable for Hanging,['Lynne Stanshine'],Standalone,Smashwords,2011,['No genre'],[0],['No awards'],4.88,8,3,7,1,0,0,0
A Prince Among Killers,"['S.R. Vaught', ' J.B. Redmond']",(Oathbreaker #2),Bloomsbury U.S.A. Children's Books,2009,"['Fantasy', 'Young Adult', 'Fiction']","[29, 12, 4]",['No awards'],3.96,489,44,167,189,95,23,15
Fugitive Pieces,['Anne Michaels'],Standalone,Vintage,1996,"['Fiction', 'Historical-Historical Fiction', 'Cultural-Canada', 'War']","[430, 231, 123, 71]","['Guardian Fiction Award (1997)', ' Orange Prize for Fiction (1997)', ' Scotiabank Giller Prize Nominee (1996)', ' Premio letterario Giuseppe Acerbi (2001)', ' Trillium Book Award (1997) Jewish Quarterly-Wingate Prize for Fiction (1998)']",3.94,13686,1159,4994,4494,2887,941,370
"Why We Want You To Be Rich: Two Men, One Message","['Donald J. Trump', ' Robert T. Kiyosaki', ' Meredith McIver', ' Sharon L. Lechter']",Standalone,Rich Press,2006,"['Business', 'Economics-Finance', 'Nonfiction', 'Self Help', 'Currency-Money', 'Self Help-Personal Development']","[131, 44, 39, 25, 24, 20]",['No awards'],3.91,13345,299,5435,3493,2830,944,643
The Invention of Wings,['Sue Monk Kidd'],Standalone,Viking,2014,"['Historical-Historical Fiction', 'Fiction', 'Historical', 'Book Club']","[4132, 2328, 585, 355]","['Florida Book Award for General Fiction - Gold (2014)', ' Goodreads Choice Award Nominee for Historical Fiction (2014)', ' International Dublin Literary Award Nominee (2016)']",4.24,255912,22699,111212,104452,32988,5280,1980
The Cask of Amontillado,['Edgar Allan Poe'],Standalone,BookSurge,1846,"['Classics', 'Short Stories', 'Horror', 'Fiction', 'Academic-School', 'Gothic', 'Literature', 'Mystery', 'Academic-Read For School', 'Young Adult-High School']","[1543, 943, 887, 530, 176, 128, 113, 109, 92, 58]",['No awards'],4.09,60244,1409,23424,22097,11849,2357,517
Billy Phelan's Greatest Game,['William  Kennedy'],(The Albany Cycle #2),Penguin Books,1978,"['Fiction', 'Historical-Historical Fiction', 'Literature', 'Literary Fiction', 'Novels']","[51, 13, 9, 5, 5]",['No awards'],3.94,1084,58,292,491,255,36,10
The Wine-Dark Sea,"['Robert Aickman', ' Peter Straub']",Standalone,Mandarin,1988,"['Horror', 'Short Stories', 'Fiction', 'Fantasy-Weird Fiction', 'Fantasy', 'Gothic']","[261, 144, 78, 29, 26, 22]",['No awards'],4.1,1401,150,592,480,229,73,27
The Ghost Hunter,['W.M. Scott'],Standalone,Maple Hill,2013,['No genre'],[0],['No awards'],4.44,9,3,6,1,2,0,0
Across the Wide and Lonesome Prairie: The Oregon Trail Diary of Hattie Campbell,['Kristiana Gregory'],(Dear America),Scholastic Inc.,1997,"['Historical-Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Childrens', 'Childrens-Middle Grade', 'Diary', 'Childrens-Juvenile', 'Adventure', 'Literature-19th Century']","[495, 106, 96, 96, 73, 60, 22, 21, 18, 14]",['No awards'],4.01,6718,374,2362,2390,1657,257,52
Annie's 1st Break,['Willee Amsden'],(Annie McCauley  #1),Unknown,2015,"['Romance', 'Mystery', 'Humor', 'Mystery-Cozy Mystery']","[11, 10, 8, 4]",['No awards'],3.38,671,72,157,178,171,96,69
Supernatural Hero,['Eran Gadot'],Standalone,Unknown,2013,"['Fiction', 'Childrens-Middle Grade', 'Fantasy', 'Childrens', 'Sequential Art-Graphic Novels']","[3, 3, 3, 3, 2]",['No awards'],4.42,199,77,132,39,15,6,7
Wolf's Surrender,['Mandy M. Roth'],(Shadow Agents #1),Raven Happy Hour LLC,2016,"['Fantasy-Paranormal', 'Romance-Paranormal Romance', 'Paranormal-Shapeshifters', 'Romance']","[24, 12, 10, 10]",['No awards'],4.29,892,123,461,276,118,30,7
Kinfolk,['Pearl S. Buck'],Standalone,Moyer Bell and its subsidiaries,1949,"['Fiction', 'Historical-Historical Fiction', 'Cultural-China', 'Classics', 'Cultural-Asia']","[34, 23, 19, 11, 9]",['No awards'],4.18,791,53,314,333,123,17,4
"Life of St. Rita of Cascia, O.S.A.",['Richard Connolly'],Standalone,CreateSpace Independent Publishing Platform,2016,"['Womens', 'Christianity-Catholic', 'Biography']","[1, 1, 1]",['No awards'],4.0,1,0,0,1,0,0,0
"Michelangelo, the Sistine Chapel",['Stefano Zuffi'],Standalone,Rizzoli Universe Promotional Books,1999,"['Art', 'Art-Art History', 'History', 'Reference']","[17, 4, 2, 2]",['No awards'],4.18,76,3,35,25,13,1,2
Heretic,['Bernard Cornwell'],(Grail Quest #3),HarperTorch,2003,"['Historical-Historical Fiction', 'Fiction', 'Historical', 'Historical-Medieval']","[775, 199, 121, 59]",['No awards'],4.15,14179,388,5359,5984,2496,291,49
Victoria's Challenge,['M.K. Eidem'],(Imperial #2),M.K. Eidem,2013,"['Science Fiction', 'Romance', 'Science Fiction-Aliens', 'Fantasy']","[41, 35, 22, 10]",['No awards'],4.29,1926,88,988,604,262,58,14
Flight Behavior,['Barbara Kingsolver'],Standalone,HarperCollins,2012,"['Fiction', 'Literary Fiction', 'Contemporary', 'Environment', 'Book Club', 'Adult Fiction', 'Novels', 'Environment-Climate Change', 'Audiobook', 'Environment-Nature']","[1786, 171, 159, 151, 108, 107, 106, 105, 99, 97]","['Orion Book Award Nominee (2013)', "" Women's Prize for Fiction Nominee (2013)"", ' Andrew Carnegie Medal Nominee for Fiction (2013)', ' Weatherford Award for Fiction (2012)', ' Goodreads Choice Award Nominee for Fiction (2012)']",3.79,80174,9874,20717,31518,19973,6022,1944
"Communing with the Ancestors: Your Spirit Guides, Bloodline Allies, and the Cycle of Reincarnation",['Raven Grimassi'],Standalone,Weiser Books,2016,"['Religion-Paganism', 'Nonfiction']","[2, 2]",['No awards'],3.31,45,15,12,9,9,11,4
Brave the Betrayal,['Katherine Applegate'],(Everworld #8),Scholastic Paperbacks,2000,"['Fantasy', 'Young Adult', 'Fantasy-Mythology', 'Fiction']","[167, 77, 27, 21]",['No awards'],3.9,1992,47,591,714,584,93,10
In the Shadow of Young Girls in Flower,"['Marcel Proust', ' James Grieve', ' Christopher Prendergast']",(À la recherche du temps perdu #2),Penguin Classics,1913,"['Classics', 'Fiction', 'Cultural-France', 'European Literature-French Literature', 'Literature', 'Novels', 'Literature-20th Century', 'Literary Fiction', 'Philosophy', 'Roman']","[358, 352, 187, 106, 85, 55, 41, 28, 22, 19]","['Prix Goncourt (1919)', ' Премія «Сковорода» (2001)']",4.4,10039,812,5750,2889,1099,224,77
The Invisible Gorilla: And Other Ways Our Intuitions Deceive Us,"['Christopher Chabris', ' Daniel Simons']",Standalone,Harmony,2010,"['Psychology', 'Nonfiction', 'Science', 'Business']","[621, 411, 200, 48]",['No awards'],3.9,13352,688,4290,4877,3070,839,276
Do No Harm,['Danielle Singleton'],(Joseph #1),Danielle Singleton,2013,['No genre'],[0],['No awards'],4.17,41,9,21,11,5,3,1
The Mike Black Saga Book One,['Roy Glenn'],Standalone,Escapism Entertainment,2010,['No genre'],[0],['No awards'],4.82,33,1,28,4,1,0,0
"Working Stiff: Two Years, 262 Bodies, and the Making of a Medical Examiner",['Judy Melinek'],Standalone,Unknown,2014,"['Nonfiction', 'Science', 'Autobiography-Memoir', 'Medical', 'Health-Medicine', 'Biography', 'Death', 'Crime-True Crime', 'Audiobook', 'Mystery-Crime']","[782, 263, 248, 178, 130, 85, 79, 76, 76, 38]",['No awards'],4.2,15297,1805,6530,5996,2215,381,175
Stonemouth,['Iain Banks'],Standalone,"Little, Brown",2012,"['Fiction', 'Cultural-Scotland', 'Mystery', 'Contemporary', 'Mystery-Crime']","[168, 30, 29, 26, 22]",['No awards'],3.78,6103,574,1279,2734,1647,351,92
Dare to Dream,['S.B. Alexander'],(Maxwell #2),Unknown,2015,"['Sports-Sports', 'Romance', 'Young Adult-High School', 'New Adult', 'Romance-Contemporary Romance']","[18, 11, 10, 9, 7]",['No awards'],4.33,1169,109,617,364,157,22,9
Tied Bond,['Emma  Hart'],(Holly Woods Files #4),Unknown,2016,"['Romance', 'Contemporary', 'Mystery', 'Romance-Contemporary Romance', 'Humor']","[17, 15, 13, 12, 11]",['No awards'],4.38,1416,141,745,496,149,25,1
Под игото,"['Ivan Vazov', ' Иван Вазов']",Standalone,Дамян Яков,1893,"['European Literature-Bulgarian Literature', 'Classics', 'Fiction', 'Historical-Historical Fiction', 'Cultural-Bulgaria']","[110, 77, 42, 39, 32]",['No awards'],4.19,6077,125,3135,1574,899,319,150
Jeremy Poldark,['Winston Graham'],(The Poldark Saga #3),Ward Lock,1950,"['Historical-Historical Fiction', 'Fiction', 'Historical', 'Romance']","[481, 134, 97, 66]",['No awards'],4.19,10208,622,3919,4507,1616,129,37
Escaping Peril,['Tui T. Sutherland'],(Wings of Fire #8),Scholastic Press,2015,"['Fantasy', 'Fantasy-Dragons', 'Childrens-Middle Grade', 'Fiction', 'Adventure', 'Young Adult', 'Childrens', 'Audiobook', 'Fantasy-Magic', 'Animals']","[226, 101, 56, 35, 24, 24, 22, 12, 12, 8]","[""Goodreads Choice Award Nominee for Middle Grade & Children's (2016)""]",4.6,9685,450,6784,2083,665,112,41
"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","['J.K. Rowling', ' Mary GrandPré']",Standalone,Scholastic,2003,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy-Magic', 'Adventure', 'Fantasy-Supernatural', 'Childrens', 'Classics', 'Science Fiction Fantasy', 'Paranormal-Witches']","[113, 43, 29, 22, 9, 9, 8, 5, 5, 5]",['No awards'],4.78,47676,176,40628,5024,1281,306,437
أعمال دوستويفسكي الأدبية : المراهق 2 ـ المجلد 15,"['Fyodor Dostoyevsky', ' سامي الدروبي', ' فيودور دوستويفسكي']",Standalone,الهيئة المصرية العامة للكتاب,1875,['Novels'],[8],['No awards'],4.07,454,68,162,181,96,9,6
"Cesar's Way: The Natural, Everyday Guide to Understanding and Correcting Common Dog Problems","['Cesar Millan', ' Melissa Jo Peltier']",Standalone,Three Rivers Press (CA),1997,"['Nonfiction', 'Animals-Dogs', 'Animals', 'Reference', 'Self Help', 'How To', 'Audiobook', 'Environment-Nature', 'Autobiography-Memoir', 'Education']","[329, 166, 110, 28, 25, 14, 14, 10, 9, 9]",['No awards'],3.74,9892,1184,2439,3735,2753,640,325
"Northern Travel: Summer and Winter Pictures Of Sweden, Denmark and Lapland","['Bayard Taylor', ' Mathias Larsen']",Standalone,Createspace Independent Publishing Platform,2006,['Autobiography-Memoir'],[1],['No awards'],4.15,13,1,6,4,2,1,0
The Best and the Brightest,['David Halberstam'],Standalone,Ballantine Books,1969,"['History', 'Nonfiction', 'Politics', 'War', 'North American Hi...-American History']","[538, 231, 214, 80, 68]","['Cornelius Ryan Award (1969)', ' National Book Award Finalist for Contemporary Affairs (1973)']",4.28,9937,453,4876,3461,1244,251,105
"Fruits Basket, Vol. 18","['Natsuki Takaya', ' Alethea Nibley', ' Athena Nibley']",(Fruits Basket #18),TokyoPop,2005,"['Sequential Art-Manga', 'Romance', 'Fantasy', 'Sequential Art-Graphic Novels', 'Young Adult']","[2194, 142, 139, 102, 65]",['No awards'],4.46,11242,146,6938,2847,1193,211,53
El Dorado: Further Adventures of the Scarlet Pimpernel,['Emmuska Orczy'],(The Scarlet Pimpernel (chronological order) #7),Dover Publications,1913,"['Classics', 'Historical-Historical Fiction', 'Fiction', 'Adventure', 'Historical', 'Romance']","[91, 73, 50, 31, 20, 14]",['No awards'],4.12,1463,132,587,531,284,49,12
Crescendo,['Becca Fitzpatrick'],"(Hush, Hush #2)",Simon & Schuster Books for Young Readers,2010,"['Young Adult', 'Fantasy', 'Paranormal-Angels', 'Fantasy-Paranormal', 'Romance']","[2793, 2200, 1828, 1555, 1485]",['Goodreads Choice Award Nominee for Goodreads Author (2010)'],4.05,268025,11003,115949,78033,50768,16856,6419
Pete's Dragon (Little Golden Book),['Walt Disney Company'],Standalone,Western Publishing Company,1977,"['Childrens', 'Childrens-Picture Books', 'Fiction']","[11, 10, 6]",['No awards'],3.98,229,12,90,63,62,9,5
The Lake Dweller (Spencer Kane Adventure #4),['B.L. Hoffman'],Standalone,B L Hoffman,2014,['No genre'],[0],['No awards'],4.75,4,3,3,1,0,0,0
Kokoda,['Paul Ham'],Standalone,HarperCollins - AU,2004,"['History', 'Nonfiction', 'Cultural-Australia', 'War-World War II', 'War']","[18, 13, 9, 5, 4]",['No awards'],4.27,222,22,101,86,30,4,1
Life of Pi,['Yann Martel'],Standalone,Seal Books,2001,"['Fiction', 'Fantasy', 'Classics', 'Adventure']","[12942, 2536, 1773, 1511]","['Booker Prize (2002)', ' Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2003)', ' Exclusive Books Boeke Prize (2003)', "" Governor General's Literary Awards / Prix littéraires du Gouverneur général Nominee for Fiction (2001)"", ' Lincoln Award Nominee (2005) Deutscher Bücherpreis for Belletristik (2004)', ' CBC Canada Reads Nominee (2003)', ' Luisterboek Award Nominee (2015)', "" QWF (Quebec Writer's Federation) Award for Paragraphe Hugh MacLennan Prize for Fiction (2001)"", ' Asian/Pacific American Award for Literature for Adult Fiction (2003)']",3.91,1304168,46737,450780,463420,258656,85850,45462
Green Angel,['Alice Hoffman'],(Green Angel #1),Scholastic Paperbacks,2003,"['Young Adult', 'Fantasy', 'Fiction', 'Magical Realism']","[337, 278, 148, 61]",['Michigan Library Association Thumbs Up! Award Nominee (2004)'],3.91,10239,1121,3648,3144,2491,763,193
The Haunting,['Lynne Ewing'],(Sisters of Isis #4),"Little, Brown Books for Young Readers",2008,"['Young Adult', 'Fantasy', 'Fantasy-Mythology', 'Fantasy-Paranormal', 'Fantasy-Magic']","[31, 19, 16, 11, 6]",['No awards'],3.94,573,20,215,161,153,36,8
Les pieds sur terre,['India Desjardins'],(Le journal d'Aurélie Laflamme #8),Les Intouchables,2011,"['Cultural-France', 'Young Adult', 'Contemporary']","[11, 9, 8]",['No awards'],4.36,833,27,444,264,109,14,2
Tigana,['Guy Gavriel Kay'],Standalone,Roc,1990,"['Fantasy', 'Fiction', 'Fantasy-High Fantasy', 'Fantasy-Epic Fantasy', 'Science Fiction Fantasy']","[4453, 465, 168, 150, 111]","['Locus Award Nominee for Best Fantasy Novel (1991)', ' World Fantasy Award Nominee for Best Novel (1991)', ' Mythopoeic Fantasy Award Nominee (1991)', ' Prix Aurora Award for Best Long Form Work in English (1991)']",4.1,40037,2480,17511,12996,6427,2050,1053
A Hope Springs Christmas,['Patricia Davids'],(Brides of Amish Country #7),Love Inspired,2012,"['Amish', 'Holiday-Christmas', 'Romance', 'Christian Fiction', 'Category Romance-Love Inspired', 'Romance-Christian Romance']","[34, 24, 13, 8, 7, 6]",['No awards'],4.26,407,46,195,142,56,8,6
School's Out—Forever,['James Patterson'],(Maximum Ride #2),"Little, Brown and Company",2006,"['Young Adult', 'Fantasy', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy-Paranormal', 'Action', 'Young Adult-Teen', 'Romance', 'Thriller']","[1278, 925, 671, 306, 268, 159, 138, 131, 118, 78]",['No awards'],4.15,111418,3285,50501,35130,19540,4536,1711
The Warrior Prophet,['R. Scott Bakker'],(The Prince of Nothing #2),Overlook TP,2004,"['Fantasy', 'Fiction', 'Fantasy-Epic Fantasy', 'Fantasy-High Fantasy', 'Fantasy-Dark Fantasy', 'Philosophy', 'Science Fiction Fantasy', 'Epic', 'Cultural-Canada', 'Dark']","[888, 91, 68, 28, 24, 22, 20, 17, 9, 7]",['No awards'],3.96,12268,328,4219,4552,2492,743,262
Positioning: The Battle for Your Mind: How to Be Seen and Heard in the Overcrowded Marketplace,"['Al Ries', ' Jack Trout']",Standalone,McGraw-Hill Companies,1980,"['Business', 'Nonfiction', 'Psychology', 'Buisness', 'Language-Communication', 'Business-Management', 'Business-Entrepreneurship', 'Self Help-Personal Development', 'Self Help', 'Leadership']","[540, 99, 23, 22, 21, 21, 18, 7, 7, 7]",['No awards'],4.04,14639,386,5938,4824,2762,725,390
Notice Me,['Emem Uko'],Standalone,CreateSpace Independent Publishing Platform,2018,"['Contemporary', 'Young Adult', 'Fiction', 'New Adult', 'Adult', 'Novels', 'Romance-Love Story']","[22, 21, 21, 19, 18, 17, 12]",['No awards'],4.26,584,5,225,287,71,1,0
The Thing About Love,['Julie James'],Standalone,Berkley,2017,"['Romance', 'Romance-Contemporary Romance', 'Contemporary', 'Womens Fiction-Chick Lit', 'Adult']","[530, 263, 211, 73, 62]",['No awards'],3.93,8769,956,2550,3648,2045,417,109
The Love Affairs of Nathaniel P.,['Adelle Waldman'],Standalone,Henry Holt & Company,2013,"['Fiction', 'Contemporary', 'Romance', 'Literary Fiction', 'Novels']","[463, 78, 52, 45, 38]",['No awards'],3.3,16266,2030,2116,5023,5575,2691,861
Stargirl,['Jerry Spinelli'],(Stargirl #1),Scholastic,2001,"['Young Adult', 'Fiction', 'Realistic Fiction', 'Contemporary', 'Romance']","[3803, 1433, 888, 860, 770]","[""Book Sense Book of the Year Award Nominee for Children's Literature (2001)"", ' South Carolina Book Award Nominee for Young Adult Book Award (2003)', ' Grand Canyon Reader Award for Teen Book (2003)', ' Charlotte Award (2004)', "" Dorothy Canfield Fisher Children's Book Award Nominee (2002) Michigan Library Association Thumbs Up! Award Nominee (2001)"", ' Iowa Teen Award (2003)', ' Lincoln Award Nominee (2006)']",3.77,288036,14260,89058,89894,72476,25568,11040
Blood of the Demon,['Diana Rowland'],(Kara Gillian #2),Bantam,2010,"['Fantasy-Urban Fantasy', 'Fantasy', 'Paranormal-Demons', 'Fantasy-Paranormal', 'Romance', 'Romance-Paranormal Romance', 'Mystery']","[536, 191, 179, 168, 81, 75, 68]",['No awards'],4.05,9273,393,3162,3881,1824,321,85
Grave-Guide : Find their Graves,['Jack Young'],Standalone,Bluepalm Publishing,2012,['No genre'],[0],['No awards'],4.5,4,0,3,0,1,0,0
Letters Home,['Sylvia Plath'],Standalone,Faber & Faber,1975,"['Nonfiction', 'Poetry', 'Biography']","[100, 61, 35]",['No awards'],4.21,2689,87,1208,933,465,63,20
Raging Star,['Moira Young'],(Dust Lands #3),Margaret K. McElderry Books,2014,"['Young Adult', 'Science Fiction-Dystopia', 'Fantasy', 'Romance']","[279, 260, 91, 81]",['No awards'],3.79,8037,1013,2423,2661,2058,648,247
Pretend You're Mine,['Lucy Score'],Standalone,Pub Yourself Press,2015,"['Romance', 'Romance-Contemporary Romance', 'War-Military Fiction', 'Contemporary', 'New Adult', 'Womens Fiction-Chick Lit', 'Adult', 'Military Fiction-Military Romance', 'Fiction', 'Humor']","[174, 74, 69, 58, 31, 18, 16, 12, 12, 9]",['No awards'],4.27,13674,1255,6936,4344,1723,453,218
Cross Creek,"['Marjorie Kinnan Rawlings', ' Edward Shenton']",Standalone,Scribner,1942,"['Autobiography-Memoir', 'Classics', 'Nonfiction', 'Biography', 'Environment-Nature', 'American-Southern', 'Biography-Autobiography', 'History', 'Biography Memoir', 'Literature']","[45, 28, 28, 16, 9, 6, 5, 5, 5, 5]",['No awards'],4.07,1666,224,649,602,317,71,27
Too Much Flesh and Jabez,['Coleman Dowell'],Standalone,Dalkey Archive Press,1977,"['Fiction', 'Novels', 'LGBT-Gay', 'Literature', 'GLBT-Queer', 'Gay-Gay Fiction']","[6, 4, 3, 3, 2, 2]",['No awards'],3.8,44,15,12,16,12,3,1
The Last Word,['Lisa Lutz'],(The Spellmans #6),Simon & Schuster,2013,"['Mystery', 'Humor', 'Fiction', 'Adult']","[344, 114, 102, 29]","['Lefty Award Nominee (2014)', ' Goodreads Choice Award Nominee for Humor (2013)']",3.96,6788,851,1955,3029,1489,240,75
ಆವರಣ [Aavarana],"['S.L. Bhyrappa', ' ಎಸ್.ಎಲ್. ಭೈರಪ್ಪ']",Standalone,Sahitya Bhandara,2007,"['History', 'Cultural-India', 'Asian Literature-Indian Literature', 'Literature-Marathi', 'Historical', 'Nonfiction', 'Politics', 'Religion', 'Religion-Hinduism', 'Cultural-Asia']","[26, 17, 4, 4, 3, 2, 2, 2, 2, 2]",['No awards'],4.41,2921,358,1762,794,228,82,55
Surfacing,['Margaret Atwood'],Standalone,Anchor,1972,"['Fiction', 'Cultural-Canada']","[807, 189]",['No awards'],3.45,21193,1390,3451,6894,7434,2671,743
